transaction_id,customer_id,product_id,order_date,quantity,net_amount,currency
1,1,101,2026-02-05,4,480.0,USD
2,2,102,2026-01-14,9,2250.0,USD
3,1,104,2026-01-05,1,320.0,USD
4,1,102,2026-01-30,9,2250.0,USD
5,5,101,2026-03-13,4,480.0,USD
6,5,104,2026-01-29,8,2560.0,USD
7,5,103,2026-01-01,3,540.0,USD
8,4,103,2026-02-05,3,540.0,USD
9,2,103,2026-01-14,2,360.0,USD
10,4,101,2026-02-15,6,720.0,USD
11,5,103,2026-01-06,8,1440.0,USD
12,5,101,2026-02-18,2,240.0,USD
13,5,103,2026-03-22,10,1800.0,USD
14,3,102,2026-04-01,2,500.0,USD
15,1,102,2026-02-07,2,500.0,USD
16,2,101,2026-02-18,5,600.0,USD
17,4,103,2026-01-21,6,1080.0,USD
18,3,102,2026-03-27,5,1250.0,USD
19,1,102,2026-03-10,4,1000.0,USD
20,2,104,2026-02-18,5,1600.0,USD
21,5,102,2026-03-29,6,1500.0,USD
22,1,102,2026-01-05,6,1500.0,USD
23,4,103,2026-01-09,4,720.0,USD
24,5,103,2026-01-28,8,1440.0,USD
25,4,104,2026-01-19,5,1600.0,USD
26,2,102,2026-03-13,9,2250.0,USD
27,3,104,2026-03-16,7,2240.0,USD
28,3,102,2026-01-18,9,2250.0,USD
29,4,101,2026-01-07,2,240.0,USD
30,2,102,2026-03-29,7,1750.0,USD
31,5,101,2026-02-19,7,840.0,USD
32,5,104,2026-03-09,5,1600.0,USD
33,5,101,2026-03-29,2,240.0,USD
34,5,103,2026-03-24,6,1080.0,USD
35,1,103,2026-02-25,3,540.0,USD
36,4,101,2026-02-03,9,1080.0,USD
37,2,101,2026-03-22,5,600.0,USD
38,5,102,2026-01-20,6,1500.0,USD
39,2,101,2026-03-18,6,720.0,USD
40,4,101,2026-01-15,6,720.0,USD
41,3,102,2026-01-08,4,1000.0,USD
42,5,101,2026-01-11,8,960.0,USD
43,1,102,2026-01-17,8,2000.0,USD
44,5,102,2026-02-03,9,2250.0,USD
45,5,104,2026-01-28,9,2880.0,USD
46,2,103,2026-02-21,6,1080.0,USD
47,4,104,2026-01-16,4,1280.0,USD
48,2,101,2026-02-13,1,120.0,USD
49,5,102,2026-03-17,4,1000.0,USD
50,1,101,2026-04-01,1,120.0,USD
